cve_ent,pobreza,pobreza_mil,pobreza_m,pobreza_m_mil,pobreza_e,pobreza_e_mil,vul_car,vul_car_mil,vul_ing,vul_ing_mil,no_pobv,no_pbv_mil,carencias,carencias_mil,carencias3,carencias3_mil,ic_rezedu,ic_rezedu_mil,ic_asalud,ic_asalud_mil,ic_segsoc,ic_segsoc_mil,ic_cv,ic_cv_mil,ic_sbv,ic_sbv_mil,ic_ali_nc,ic_ali_nc_mil,plp_e,plp_e_mil,plp,plp_mil,anio
18,38.10434606,450.039,30.35366236,358.498,7.750683702,91.541,29.59816099,349.575,6.432133574,75.968,25.86535938,305.488,67.70250705,799.614,18.51363594,218.659,17.67964642,208.809,15.04847299,177.733,56.35787887,665.626,9.666827538,114.172,18.20434013,215.006,20.71460625,244.654,14.90732979,176.066,44.53647963,526.007,2016
19,18.85198842,998.541,17.58919305,931.654,1.262795368,66.887,28.04303627,1485.367,9.202639887,487.44,43.90233542,2325.393,46.8950247,2483.908,7.432645848,393.688,12.23116252,647.853,13.32370225,705.722,31.08832393,1646.668,4.984555597,264.019,2.730433676,144.624,14.71399111,779.362,4.298152392,227.662,28.05462831,1485.981,2016
20,67.97760948,2660.507,43.7212795,1711.163,24.25632998,949.344,21.79033721,852.83,2.03732997,79.737,8.194723337,320.725,89.76794669,3513.337,50.5431679,1978.158,28.50749361,1115.726,15.87603247,621.356,80.4727325,3149.541,26.27373046,1028.301,61.98425111,2425.939,34.95542311,1368.085,33.09541446,1295.288,70.01493945,2740.244,2016
21,58.12608941,3674.532,50.16823912,3171.464,7.957850291,503.068,22.02716788,1392.482,5.605160166,354.339,14.24158255,900.304,80.15325729,5067.014,25.47733925,1610.59,21.13300358,1335.956,17.37814943,1098.587,69.40276893,4387.405,14.46763088,914.594,25.71741871,1625.767,23.68685932,1497.402,17.66361256,1116.633,63.73124958,4028.871,2016
22,29.68808619,640.193,27.18103392,586.131,2.507052273,54.062,31.27438964,674.4,8.592017147,185.278,30.44550702,656.526,60.96247583,1314.593,12.60973745,271.916,15.65797022,337.648,13.17507861,284.107,45.93541913,990.55,9.715372448,209.502,12.74820917,274.902,14.69395478,316.86,6.778482812,146.171,38.28010334,825.471,2016
23,31.65285327,537.882,26.62371213,452.421,5.029141137,85.461,33.35771569,566.853,6.339668431,107.731,28.64976261,486.85,65.01056896,1104.735,19.84133616,337.167,15.979959,271.55,17.62638615,299.528,45.46488116,772.592,16.98865897,288.691,19.50537746,331.458,19.34295917,328.698,9.880269473,167.897,37.9925217,645.613,2016
24,44.13718678,1217.982,37.72690854,1041.088,6.410278246,176.894,24.54049357,677.204,7.242736734,199.866,24.07958292,664.485,68.67768035,1895.186,19.06982947,526.239,18.77217084,518.025,9.090293046,250.85,55.93518043,1543.552,9.69724269,267.599,24.72519847,682.301,20.80102568,574.012,14.86198591,410.122,51.37992352,1417.848,2016
25,30.45804239,895.736,27.89986688,820.503,2.558175515,75.233,30.59932639,899.891,7.596930856,223.417,31.34570036,921.841,61.05736879,1795.627,14.5983947,429.322,16.49676883,485.151,12.21030404,359.091,41.56769136,1222.458,11.26915877,331.413,12.78536903,376.003,22.97747107,675.741,7.334628862,215.703,38.05497325,1119.153,2016
26,27.00776952,768.014,24.89968977,708.067,2.108079747,59.947,29.82971349,848.261,8.368880021,237.984,34.79363697,989.419,56.83748301,1616.275,12.3340969,350.742,13.41639243,381.519,14.6869301,417.649,38.39752602,1091.902,9.502517514,270.221,9.725397883,276.559,21.1970202,602.775,5.845176564,166.218,35.37664954,1005.998,2016
27,53.84361462,1255.975,42.34798843,987.824,11.49562619,268.151,30.30139735,706.821,3.126507147,72.93,12.72848088,296.909,84.14501197,1962.796,37.37207064,871.754,17.6226885,411.073,13.4084844,312.771,62.83799223,1465.781,12.32970439,287.607,48.7972186,1138.261,48.06469936,1121.174,18.46937048,430.823,56.97012177,1328.905,2016
28,32.04342113,1097.359,29.32441745,1004.244,2.719003679,93.115,27.19313204,931.256,10.52470362,360.429,30.23874321,1035.556,59.23655317,2028.615,11.09382118,379.919,15.53635461,532.058,12.75474508,436.799,41.23042107,1411.977,6.425918355,220.062,9.744787712,333.72,19.62795655,672.179,10.0297845,343.48,42.56812474,1457.788,2016
29,55.93330964,711.286,50.07659232,636.808,5.856717319,74.478,21.6461372,275.267,9.084053385,115.519,13.33649978,169.596,77.57944684,986.553,14.97332637,190.411,14.20181997,180.6,12.52457402,159.271,66.28648358,842.944,10.23569045,130.164,10.71435312,136.251,24.94652692,317.237,18.34818522,233.328,65.01736302,826.805,2016
