no,cve_ent,year,valor,entidad,entidad_abr_m
1045,07,1973,1843035,Chiapas,CHPS
1045,08,1973,1807496,Chihuahua,CHIH
1045,09,1973,7849693,Ciudad de México,CDMX
1045,10,1973,1056246,Durango,DGO
1045,11,1973,2611441,Guanajuato,GTO
1045,12,1973,1871918,Guerrero,GRO
1045,13,1973,1371200,Hidalgo,HGO
1045,14,1973,3815164,Jalisco,JAL
1045,15,1973,5058185,México,MEX
1045,16,1973,2646348,Michoacán,MICH
1045,17,1973,743552,Morelos,MOR
1045,18,1973,622759,Nayarit,NAY
1045,19,1973,1994696,Nuevo León,NL
1045,20,1973,2292827,Oaxaca,OAX
1045,21,1973,2945634,Puebla,PUE
1045,22,1973,584576,Querétaro,QRO
1045,23,1973,128682,Quintana Roo,QROO
1045,24,1973,1478751,San Luis Potosí,SLP
1045,25,1973,1484139,Sinaloa,SIN
1045,26,1973,1272000,Sonora,SON
1045,27,1973,890466,Tabasco,TAB
1045,28,1973,1659731,Tamaulipas,TAM
1045,29,1973,483214,Tlaxcala,TLAX
1045,30,1973,4495207,Veracruz,VER
1045,31,1973,897745,Yucatán,YUC
1045,32,1973,1055898,Zacatecas,ZAC
1045,00,1974,58097331,Nacional,Nacional
1045,01,1974,423963,Aguascalientes,AGS
1045,02,1974,1027166,Baja California,BC
1045,03,1974,165056,Baja California Sur,BCS
1045,04,1974,329815,Campeche,CAMP
1045,05,1974,1331213,Coahuila,COAH
1045,06,1974,292804,Colima,COL
1045,07,1974,1888201,Chiapas,CHPS
1045,08,1974,1843939,Chihuahua,CHIH
1045,09,1974,8022978,Ciudad de México,CDMX
1045,10,1974,1078555,Durango,DGO
1045,11,1974,2677448,Guanajuato,GTO
1045,12,1974,1917946,Guerrero,GRO
1045,13,1974,1401730,Hidalgo,HGO
1045,14,1974,3915834,Jalisco,JAL
1045,15,1974,5401111,México,MEX
1045,16,1974,2697151,Michoacán,MICH
1045,17,1974,773544,Morelos,MOR
1045,18,1974,639257,Nayarit,NAY
1045,19,1974,2067557,Nuevo León,NL
1045,20,1974,2323523,Oaxaca,OAX
1045,21,1974,3021015,Puebla,PUE
1045,22,1974,607339,Querétaro,QRO
1045,23,1974,140968,Quintana Roo,QROO
1045,24,1974,1514125,San Luis Potosí,SLP
1045,25,1974,1536428,Sinaloa,SIN
1045,26,1974,1308630,Sonora,SON
1045,27,1974,916904,Tabasco,TAB
1045,28,1974,1701446,Tamaulipas,TAM
1045,29,1974,495231,Tlaxcala,TLAX
1045,30,1974,4638172,Veracruz,VER
1045,31,1974,924868,Yucatán,YUC
1045,32,1974,1073414,Zacatecas,ZAC
1045,00,1975,59792538,Nacional,Nacional
1045,01,1975,440897,Aguascalientes,AGS
1045,02,1975,1054575,Baja California,BC
1045,03,1975,172969,Baja California Sur,BCS
1045,04,1975,345310,Campeche,CAMP
1045,05,1975,1370722,Coahuila,COAH
1045,06,1975,302569,Colima,COL
1045,07,1975,1932564,Chiapas,CHPS
1045,08,1975,1879877,Chihuahua,CHIH
1045,09,1975,8199978,Ciudad de México,CDMX
1045,10,1975,1100506,Durango,DGO
1045,11,1975,2744962,Guanajuato,GTO
1045,12,1975,1963818,Guerrero,GRO
1045,13,1975,1432047,Hidalgo,HGO
1045,14,1975,4016640,Jalisco,JAL
1045,15,1975,5751320,México,MEX
1045,16,1975,2746365,Michoacán,MICH
1045,17,1975,804105,Morelos,MOR
1045,18,1975,655773,Nayarit,NAY
1045,19,1975,2141527,Nuevo León,NL
1045,20,1975,2352518,Oaxaca,OAX
1045,21,1975,3095976,Puebla,PUE
1045,22,1975,630388,Querétaro,QRO
1045,23,1975,153505,Quintana Roo,QROO
1045,24,1975,1549456,San Luis Potosí,SLP
1045,25,1975,1589422,Sinaloa,SIN
1045,26,1975,1345397,Sonora,SON
1045,27,1975,943477,Tabasco,TAB
1045,28,1975,1743179,Tamaulipas,TAM
1045,29,1975,507490,Tlaxcala,TLAX
1045,30,1975,4782546,Veracruz,VER
1045,31,1975,952330,Yucatán,YUC
1045,32,1975,1090330,Zacatecas,ZAC
1045,00,1976,61476071,Nacional,Nacional
1045,01,1976,458005,Aguascalientes,AGS
1045,02,1976,1081578,Baja California,BC
1045,03,1976,181053,Baja California Sur,BCS
1045,04,1976,361064,Campeche,CAMP
1045,05,1976,1410086,Coahuila,COAH
1045,06,1976,312337,Colima,COL
1045,07,1976,1976490,Chiapas,CHPS
1045,08,1976,1914579,Chihuahua,CHIH
1045,09,1976,8373187,Ciudad de México,CDMX
1045,10,1976,1121720,Durango,DGO
1045,11,1976,2811188,Guanajuato,GTO
1045,12,1976,2008337,Guerrero,GRO
1045,13,1976,1462140,Hidalgo,HGO
1045,14,1976,4116309,Jalisco,JAL
1045,15,1976,6111630,México,MEX
1045,16,1976,2792259,Michoacán,MICH
1045,17,1976,835008,Morelos,MOR
1045,18,1976,672037,Nayarit,NAY
1045,19,1976,2216014,Nuevo León,NL
1045,20,1976,2378800,Oaxaca,OAX
1045,21,1976,3168628,Puebla,PUE
1045,22,1976,653907,Querétaro,QRO
1045,23,1976,166513,Quintana Roo,QROO
1045,24,1976,1582958,San Luis Potosí,SLP
1045,25,1976,1642522,Sinaloa,SIN
1045,26,1976,1381840,Sonora,SON
1045,27,1976,969807,Tabasco,TAB
1045,28,1976,1784225,Tamaulipas,TAM
1045,29,1976,519501,Tlaxcala,TLAX
1045,30,1976,4926491,Veracruz,VER
1045,31,1976,979658,Yucatán,YUC
1045,32,1976,1106200,Zacatecas,ZAC
1045,00,1977,63139218,Nacional,Nacional
1045,01,1977,475241,Aguascalientes,AGS
1045,02,1977,1108221,Baja California,BC
1045,03,1977,189354,Baja California Sur,BCS
1045,04,1977,377145,Campeche,CAMP
1045,05,1977,1449133,Coahuila,COAH
1045,06,1977,322144,Colima,COL
1045,07,1977,2020170,Chiapas,CHPS
1045,08,1977,1947728,Chihuahua,CHIH
1045,09,1977,8537180,Ciudad de México,CDMX
1045,10,1977,1142025,Durango,DGO
1045,11,1977,2875766,Guanajuato,GTO
1045,12,1977,2050625,Guerrero,GRO
1045,13,1977,1491199,Hidalgo,HGO
1045,14,1977,4213745,Jalisco,JAL
1045,15,1977,6486002,México,MEX
1045,16,1977,2835982,Michoacán,MICH
1045,17,1977,866205,Morelos,MOR
1045,18,1977,687947,Nayarit,NAY
1045,19,1977,2290896,Nuevo León,NL
1045,20,1977,2400425,Oaxaca,OAX
1045,21,1977,3238679,Puebla,PUE
1045,22,1977,677675,Querétaro,QRO
1045,23,1977,180164,Quintana Roo,QROO
1045,24,1977,1615212,San Luis Potosí,SLP
1045,25,1977,1695495,Sinaloa,SIN
1045,26,1977,1417862,Sonora,SON
1045,27,1977,995748,Tabasco,TAB
1045,28,1977,1824280,Tamaulipas,TAM
1045,29,1977,531236,Tlaxcala,TLAX
1045,30,1977,5069335,Veracruz,VER
1045,31,1977,1006559,Yucatán,YUC
1045,32,1977,1119840,Zacatecas,ZAC
1045,00,1978,64788304,Nacional,Nacional
1045,01,1978,492548,Aguascalientes,AGS
1045,02,1978,1134847,Baja California,BC
1045,03,1978,197791,Baja California Sur,BCS
1045,04,1978,393441,Campeche,CAMP
1045,05,1978,1487807,Coahuila,COAH
1045,06,1978,331902,Colima,COL
1045,07,1978,2062792,Chiapas,CHPS
1045,08,1978,1979359,Chihuahua,CHIH
1045,09,1978,8696633,Ciudad de México,CDMX
1045,10,1978,1161391,Durango,DGO
1045,11,1978,2938709,Guanajuato,GTO
1045,12,1978,2092221,Guerrero,GRO
1045,13,1978,1519094,Hidalgo,HGO
1045,14,1978,4308929,Jalisco,JAL
1045,15,1978,6869147,México,MEX
1045,16,1978,2878437,Michoacán,MICH
1045,17,1978,897590,Morelos,MOR
1045,18,1978,703505,Nayarit,NAY
1045,19,1978,2366121,Nuevo León,NL
1045,20,1978,2419164,Oaxaca,OAX
1045,21,1978,3307878,Puebla,PUE
1045,22,1978,701535,Querétaro,QRO
1045,23,1978,194254,Quintana Roo,QROO
1045,24,1978,1647489,San Luis Potosí,SLP
1045,25,1978,1748333,Sinaloa,SIN
1045,26,1978,1453387,Sonora,SON
1045,27,1978,1021301,Tabasco,TAB
1045,28,1978,1863370,Tamaulipas,TAM
1045,29,1978,542695,Tlaxcala,TLAX
1045,30,1978,5211148,Veracruz,VER
1045,31,1978,1033174,Yucatán,YUC
1045,32,1978,1132312,Zacatecas,ZAC
1045,00,1979,66431403,Nacional,Nacional
1045,01,1979,509979,Aguascalientes,AGS
1045,02,1979,1161912,Baja California,BC
1045,03,1979,206392,Baja California Sur,BCS
1045,04,1979,410025,Campeche,CAMP
1045,05,1979,1526391,Coahuila,COAH
1045,06,1979,341627,Colima,COL
1045,07,1979,2104616,Chiapas,CHPS
1045,08,1979,2009767,Chihuahua,CHIH
1045,09,1979,8852608,Ciudad de México,CDMX
1045,10,1979,1179978,Durango,DGO
1045,11,1979,3000317,Guanajuato,GTO
1045,12,1979,2133813,Guerrero,GRO
1045,13,1979,1545978,Hidalgo,HGO
1045,14,1979,4402209,Jalisco,JAL
1045,15,1979,7261520,México,MEX
1045,16,1979,2918662,Michoacán,MICH
1045,17,1979,929253,Morelos,MOR
1045,18,1979,718756,Nayarit,NAY
1045,19,1979,2442110,Nuevo León,NL
1045,20,1979,2436656,Oaxaca,OAX
1045,21,1979,3376487,Puebla,PUE
